Switched-In;Switched-Out;CPU;PID;TID;Comm;Runtime;Time Out-In;Time Out-Out;Time In-In;Time In-Out
4666.769703274;4666.769710545;0;17;17;migration/0;7271;-1;-1;-1;-1
4666.769718546;4666.769723324;1;160;160;migration/1;4778;-1;-1;-1;-1
4666.769767704;4666.769774796;2;22;22;migration/2;7092;-1;-1;-1;-1
4666.769783871;4666.769789050;3;166;166;migration/3;5179;-1;-1;-1;-1
4666.769836345;4666.769843998;4;28;28;migration/4;7653;-1;-1;-1;-1
4666.769852961;4666.769857380;5;172;172;migration/5;4419;-1;-1;-1;-1
4666.769903619;4666.769910887;6;34;34;migration/6;7268;-1;-1;-1;-1
4666.769920300;4666.769925099;7;178;178;migration/7;4799;-1;-1;-1;-1
4666.770005623;4666.770011961;8;40;40;migration/8;6338;-1;-1;-1;-1
4666.770020914;4666.770025543;9;184;184;migration/9;4629;-1;-1;-1;-1
4666.770071143;4666.770077779;10;46;46;migration/10;6636;-1;-1;-1;-1
4666.770085472;4666.770090850;11;190;190;migration/11;5378;-1;-1;-1;-1
4666.770146549;4666.770153629;12;52;52;migration/12;7080;-1;-1;-1;-1
4666.770162240;4666.770166929;13;196;196;migration/13;4689;-1;-1;-1;-1
4666.770218560;4666.770230563;14;58;58;migration/14;12003;-1;-1;-1;-1
4666.770238826;4666.770244063;15;202;202;migration/15;5237;-1;-1;-1;-1
4666.770314681;4666.770323763;16;64;64;migration/16;9082;-1;-1;-1;-1
4666.770362698;4666.770371170;17;70;70;migration/17;8472;-1;-1;-1;-1
4666.770408613;4666.770417104;18;76;76;migration/18;8491;-1;-1;-1;-1
4666.770454504;4666.770462451;19;82;82;migration/19;7947;-1;-1;-1;-1
4666.770536631;4666.770545232;20;88;88;migration/20;8601;-1;-1;-1;-1
4666.770605107;4666.770616691;21;94;94;migration/21;11584;-1;-1;-1;-1
4666.770808489;4666.770816731;22;100;100;migration/22;8242;-1;-1;-1;-1
4666.770853359;4666.770861534;23;106;106;migration/23;8175;-1;-1;-1;-1
4666.770916721;4666.770922983;21;49269;49269;kworker/u64:2;6262;-1;-1;-1;-1
4666.770937913;4666.770947979;24;112;112;migration/24;10066;-1;-1;-1;-1
4666.770922983;4666.770985752;21;49600;49600;kworker/21:0;62769;-1;-1;-1;-1
4666.771005227;4666.771013730;25;118;118;migration/25;8503;-1;-1;-1;-1
4666.771062872;4666.771071782;26;124;124;migration/26;8910;-1;-1;-1;-1
4666.771119954;4666.771128625;27;130;130;migration/27;8671;-1;-1;-1;-1
4666.771196252;4666.771206309;28;136;136;migration/28;10057;-1;-1;-1;-1
4666.771249621;4666.771258202;29;142;142;migration/29;8581;-1;-1;-1;-1
4666.771297065;4666.771305910;30;148;148;migration/30;8845;-1;-1;-1;-1
4666.771439795;4666.771916288;0;50301;50301;perf-exec;476493;-1;-1;-1;-1
4666.775039870;4666.775058152;11;48165;48165;chromium;18282;-1;-1;-1;-1
4666.778633959;4666.778656240;3;37997;37997;kworker/3:0;22281;-1;-1;-1;-1
4666.778641006;4666.778658948;23;16;16;rcu_preempt;17942;-1;-1;-1;-1
4666.778640485;4666.778664087;1;32758;32758;kworker/1:0;23602;-1;-1;-1;-1
4666.783106498;4666.783143002;11;48165;48165;chromium;36504;8048346;8084850;8066628;8103132
4666.786635733;4666.786655633;23;16;16;rcu_preempt;19900;7976785;7996685;7994727;8014627
4666.792393235;4666.792465529;0;4140;4232;VizCompositorTh;72294;-1;-1;-1;-1
4666.792393248;4666.792500102;1;48165;48171;Compositor;106854;-1;-1;-1;-1
4666.792574831;4666.792605509;21;4140;4230;Chrome_ChildIOT;30678;-1;-1;-1;-1
4666.792515989;4666.792616029;12;48165;48167;ThreadPoolForeg;100040;-1;-1;-1;-1
4666.792608740;4666.792638497;1;48165;48171;Compositor;29757;108638;138395;215492;245249
4666.792608743;4666.792655344;0;4140;4232;VizCompositorTh;46601;143214;189815;215508;262109
4666.794630254;4666.794649515;23;16;16;rcu_preempt;19261;7974621;7993882;7994521;8013782
4666.794708651;4666.794741951;0;4140;4232;VizCompositorTh;33300;2053307;2086607;2099908;2133208
4666.806654976;4666.806897960;11;48165;48165;chromium;242984;23511974;23754958;23548478;23791462
4666.827878811;4666.827972962;0;4140;4232;VizCompositorTh;94151;33136860;33231011;33170160;33264311
4666.829215384;4666.829475655;2;4144;4150;Chrome_ChildIOT;260271;-1;-1;-1;-1
4666.829476373;4666.829590494;6;3902;3957;Chrome_IOThread;114121;-1;-1;-1;-1
4666.829618205;4666.830366248;0;3902;3902;chromium;748043;-1;-1;-1;-1
4666.830752751;4666.830855117;13;7180;7180;kitty;102366;-1;-1;-1;-1
4666.830902176;4666.831046475;14;2376;2376;gnome-shell;144299;-1;-1;-1;-1
4666.832481278;4666.832675355;0;3902;3902;chromium;194077;2115030;2309107;2863073;3057150
4666.832985482;4666.833085082;4;15036;15036;systemd-journal;99600;-1;-1;-1;-1
4666.832944247;4666.833111413;11;48165;48165;chromium;167166;26046287;26213453;26289271;26456437
4666.833057456;4666.833137514;10;48165;48169;Chrome_ChildIOT;80058;-1;-1;-1;-1
4666.833193830;4666.833335725;6;3902;3957;Chrome_IOThread;141895;3603336;3745231;3717457;3859352
4666.833363937;4666.833591634;0;3902;3902;chromium;227697;688582;916279;882659;1110356
4666.838635071;4666.838669428;24;264;264;kworker/24:1;34357;-1;-1;-1;-1
4666.847836813;4666.848037308;11;48165;48165;chromium;200495;14725400;14925895;14892566;15093061
4666.852197682;4666.852356738;11;48165;48165;chromium;159056;4160374;4319430;4360869;4519925
4666.861098766;4666.861193914;0;4140;4232;VizCompositorTh;95148;33125804;33220952;33219955;33315103
4666.868543282;4666.868730028;6;4521;4521;chromium;186746;-1;-1;-1;-1
4666.870090696;4666.870143493;7;48797;48805;HangWatcher;52797;-1;-1;-1;-1
4666.870619429;4666.870632275;2;243;243;kcompactd0;12846;-1;-1;-1;-1
4666.870638227;4666.870664842;31;271;271;kworker/31:1;26615;-1;-1;-1;-1
4666.874650178;4666.874672331;21;49269;49269;kworker/u64:2;22153;103727195;103749348;103733457;103755610
4666.894317162;4666.894410229;0;4140;4232;VizCompositorTh;93067;33123248;33216315;33218396;33311463
4666.927539425;4666.927633147;0;4140;4232;VizCompositorTh;93722;33129196;33222918;33222263;33315985
4666.934619462;4666.934642883;8;49611;49611;kworker/8:0;23421;-1;-1;-1;-1
4666.934619458;4666.934642907;9;14124;14124;kworker/9:2;23449;-1;-1;-1;-1
4666.938519461;4666.938672571;6;3902;3957;Chrome_IOThread;153110;105183736;105336846;105325631;105478741
4666.938692217;4666.938890636;2;4144;4150;Chrome_ChildIOT;198419;109216562;109414981;109476833;109675252
4666.938924999;4666.938994277;6;3902;3957;Chrome_IOThread;69278;252428;321706;405538;474816
4666.941015139;4666.941131817;2;4144;4150;Chrome_ChildIOT;116678;2124503;2241181;2322922;2439600
4666.941158318;4666.941246725;6;3902;3957;Chrome_IOThread;88407;2164041;2252448;2233319;2321726
4666.941278811;4666.941486874;0;3902;3902;chromium;208063;107687177;107895240;107914874;108122937
4666.941466352;4666.941583889;2;4144;4150;Chrome_ChildIOT;117537;334535;452072;451213;568750
4666.943470647;4666.943633101;2;4144;4150;Chrome_ChildIOT;162454;1886758;2049212;2004295;2166749
4666.943651917;4666.943830723;6;3902;3957;Chrome_IOThread;178806;2405192;2583998;2493599;2672405
4666.943788414;4666.943862893;2;4144;4150;Chrome_ChildIOT;74479;155313;229792;317767;392246
4666.946674508;4666.946688357;23;16;16;rcu_preempt;13849;152024993;152038842;152044254;152058103
4666.947835381;4666.948030755;11;48165;48165;chromium;195374;95478643;95674017;95637699;95833073
4666.954632198;4666.954647001;23;16;16;rcu_preempt;14803;7943841;7958644;7957690;7972493
4666.961764382;4666.961857895;0;4140;4232;VizCompositorTh;93513;34131235;34224748;34224957;34318470
4666.966634008;4666.966648046;13;36012;36012;kworker/13:0;14038;-1;-1;-1;-1
4666.966634979;4666.966648155;1;32758;32758;kworker/1:0;13176;187970892;187984068;187994494;188007670
4666.966635039;4666.966655468;11;50122;50122;kworker/11:1;20429;-1;-1;-1;-1
4666.966639264;4666.966659250;4;49602;49602;kworker/4:2;19986;-1;-1;-1;-1
4666.966645576;4666.966667682;20;49599;49599;kworker/20:1;22106;-1;-1;-1;-1
4666.966679521;4666.966917922;21;49269;49269;kworker/u64:2;238401;92007190;92245591;92029343;92267744
4666.969441240;4666.969469435;6;2448;2450;gvfs-afc-volume;28195;-1;-1;-1;-1
4666.994982269;4666.995076231;0;4140;4232;VizCompositorTh;93962;33124374;33218336;33217887;33311849
4667.018250928;4667.018495132;2;6932;6932;chromium;244204;-1;-1;-1;-1
4667.028200158;4667.028291787;0;4140;4232;VizCompositorTh;91629;33123927;33215556;33217889;33309518
4667.030313830;4667.030535027;11;48165;48165;chromium;221197;82283075;82504272;82478449;82699646
4667.047823193;4667.048020855;11;48165;48165;chromium;197662;17288166;17485828;17509363;17707025
4667.061414292;4667.061507073;0;4140;4232;VizCompositorTh;92781;33122505;33215286;33214134;33306915
4667.066843089;4667.067566764;13;7180;7180;kitty;723675;235987972;236711647;236090338;236814013
4667.067681421;4667.067694481;21;49269;49269;kworker/u64:2;13060;100763499;100776559;101001900;101014960
4667.067600350;4667.067798040;14;2376;2376;gnome-shell;197690;236553875;236751565;236698174;236895864
4667.067817580;4667.067867111;13;7180;7180;kitty;49531;250816;300347;974491;1024022
4667.074272790;4667.074294131;20;49599;49599;kworker/20:1;21341;107605108;107626449;107627214;107648555
4667.074345002;4667.074629016;14;2376;2376;gnome-shell;284014;6546962;6830976;6744652;7028666
4667.074660459;4667.074709680;13;7180;7180;kitty;49221;6793348;6842569;6842879;6892100
4667.079837564;4667.079850110;16;308;308;kworker/u65:0;12546;-1;-1;-1;-1
4667.079846545;4667.079859950;21;49269;49269;kworker/u64:2;13405;12152064;12165469;12165124;12178529
4667.078682805;4667.079870059;14;2376;2376;gnome-shell;1187254;4053789;5241043;4337803;5525057
4667.079902895;4667.079973409;13;7180;7180;kitty;70514;5193215;5263729;5242436;5312950
4667.082160569;4667.082181909;20;49599;49599;kworker/20:1;21340;7866438;7887778;7887779;7909119
4667.082223699;4667.082284894;16;308;308;kworker/u65:0;61195;2373589;2434784;2386135;2447330
4667.089523390;4667.089562406;16;308;308;kworker/u65:0;39016;7238496;7277512;7299691;7338707
4667.089562406;4667.089595657;16;403;403;kworker/16:1H;33251;-1;-1;-1;-1
4667.089552272;4667.089730499;14;2376;2376;gnome-shell;178227;9682213;9860440;10869467;11047694
4667.094634368;4667.094726904;0;4140;4232;VizCompositorTh;92536;33127295;33219831;33220076;33312612
4667.105070194;4667.105207272;6;3902;3957;Chrome_IOThread;137078;161239471;161376549;161418277;161555355
4667.105228409;4667.105406162;2;4144;4150;Chrome_ChildIOT;177753;161365516;161543269;161439995;161617748
4667.105442916;4667.105511247;6;3902;3957;Chrome_IOThread;68331;235644;303975;372722;441053
4667.105775009;4667.106079117;2;4144;4150;Chrome_ChildIOT;304108;368847;672955;546600;850708
4667.106092985;4667.106188859;10;48165;48169;Chrome_ChildIOT;95874;272955471;273051345;273035529;273131403
4667.106343621;4667.106371735;2;4144;4150;Chrome_ChildIOT;28114;264504;292618;568612;596726
4667.106614297;4667.106628371;23;16;16;rcu_preempt;14074;151967296;151981370;151982099;151996173
4667.109483778;4667.109634912;2;4144;4150;Chrome_ChildIOT;151134;3112043;3263177;3140157;3291291
4667.110648717;4667.110666965;21;49269;49269;kworker/u64:2;18248;30788767;30807015;30802172;30820420
4667.111120934;4667.111136073;21;49269;49269;kworker/u64:2;15139;453969;469108;472217;487356
4667.111038733;4667.111173889;2;4144;4150;Chrome_ChildIOT;135156;1403821;1538977;1554955;1690111
4667.111189318;4667.111354362;6;3902;3957;Chrome_IOThread;165044;5678071;5843115;5746402;5911446
4667.111334906;4667.111409515;2;4144;4150;Chrome_ChildIOT;74609;161017;235626;296173;370782
4667.114575393;4667.114579602;23;16;16;rcu_preempt;4209;7947022;7951231;7961096;7965305
4667.106176075;4667.115075524;11;48165;48165;chromium;8899449;58155220;67054669;58352882;67252331
4667.118663587;4667.118681917;21;49269;49269;kworker/u64:2;18330;7527514;7545844;7542653;7560983
4667.119144443;4667.119166500;21;49269;49269;kworker/u64:2;22057;462526;484583;480856;502913
4667.119166500;4667.119197199;21;49600;49600;kworker/21:0;30699;348180748;348211447;348243517;348274216
4667.122611306;4667.122626519;23;16;16;rcu_preempt;15213;8031704;8046917;8035913;8051126
4667.126601179;4667.126618875;10;49604;49604;kworker/10:0;17696;-1;-1;-1;-1
4667.127851930;4667.127945381;0;4140;4232;VizCompositorTh;93451;33125026;33218477;33217562;33311013
4667.147816821;4667.150641218;11;48165;48165;chromium;2824397;32741297;35565694;41640746;44465143
4667.156872714;4667.157039502;11;48165;48165;chromium;166788;6231496;6398284;9055893;9222681
4667.161072047;4667.161164967;0;4140;4232;VizCompositorTh;92920;33126666;33219586;33220117;33313037
4667.190257511;4667.190423994;11;48165;48165;chromium;166483;33218009;33384492;33384797;33551280
4667.192568636;4667.192679486;2;4144;4150;Chrome_ChildIOT;110850;81159121;81269971;81233730;81344580
